conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1,84748E+18;Sat Oct 19 07:24:21 +0000 2024;0;@azis95 yg mau beli tiket mending mikir 10x sblm beli. apalagi beli di calo harusnya mikir 100x. ini bukan konser kan? fan meeting kan? soalnya lagu lisa sedikit. pakah ada perform tarian lisa? apakah dia berani perform pake baju mini di sini? soalnya sty;1,84754E+18;;azis95;in;;0;0;0;https://x.com/BarbarianCodes/status/1847539266613641565;1,29446E+18;BarbarianCodes
1,8475E+18;Sat Oct 19 04:44:54 +0000 2024;0;Btw gak masalahin org nonton konser krna fomo yaa biarin aja mah kan mayan menuhin venue dan tiket bisa sold out. Tapi kadang2 banyak yg fomo2 ini gak mikirin hrga tiket sampe mau belik di calo dgn harga gak manusiawi demi fomonya itu. Jadinya ya gitu tiket selangit harganya;1,8475E+18;;kisbet_;in;Kota Medan, Sumatera Utara;0;0;0;https://x.com/kisbet_/status/1847499138533114049;93847582;kisbet_
1,84749E+18;Sat Oct 19 04:20:00 +0000 2024;0;gais kalian ada yg prnh beli tiket di calo pas konser udh mulai blm ya? katanya ada yg blng harganya jd jatoh bgt;1,84749E+18;;;in;she/they;0;1;0;https://x.com/felixmybf/status/1847492872343347495;1,25544E+18;felixmybf
1,84717E+18;Sat Oct 19 01:03:59 +0000 2024;0;@seorangbisnism @asepjpeg Orang orang di X kemakan bulat bulat sama calo tiket konser;1,84744E+18;;seorangbisnism;in;;0;1;0;https://x.com/inflasijahat/status/1847443543335588087;1,73485E+18;inflasijahat
1,84735E+18;Fri Oct 18 19:14:00 +0000 2024;0;Konser day6 kemarin ada calo yg jual tiket 10pcs dan gelangnya ga bisa di scan semua pas mau masuk. 20jt loss hilang dah. Skrg bayangin kok bisa calo2 ini punya gelang yg sama dari promotor ? Model dan designnya;1,84736E+18;;lasola12345;in;;0;0;0;https://x.com/lasola12345/status/1847355467129114802;1,64104E+18;lasola12345
1,84733E+18;Fri Oct 18 17:35:10 +0000 2024;0;H-5 konser day6 di Surabaya itu posisi aku lagi capek bangetttttttt karena beneran full tesis tiap hari. Akhirnya gatel cari wts meskipun blm bulat. H-2 mulai bulat tekad ini long story short dapet lah tiket yellow di calo (war juga itu cepet-cepetan). Seneng? Iyadong;1,84733E+18;;MediantariO;in;;0;1;0;https://x.com/MediantariO/status/1847330598039539946;63075304;MediantariO
1,84729E+18;Fri Oct 18 14:49:30 +0000 2024;0;Gue calo tiket konser;1,84729E+18;;;in;Cibitung;0;0;0;https://x.com/azka_kiya/status/1847288904250237049;9,314E+17;azka_kiya
1,84725E+18;Fri Oct 18 14:15:06 +0000 2024;83;semoga juga kedepannya mecima bisa lebih baik dalam forecasting demand buat bikin konser karna ini ga pertama kalinya banyak yg kena scam karna ga dapet tiket. pas bets juga dulu gini mana banyak calo yg jual dgn harga yg ga masuk akal;1,84728E+18;;linophillia;in;00s;2;1;4;https://x.com/linophillia/status/1847280249295569351;1,24292E+18;linophillia
1,84718E+18;Fri Oct 18 07:25:15 +0000 2024;9; Haloo gais last day gue sempet kirim menfess tentang wa ak yg mau dihack. Ni gue udh ketemu org nya jadi tu dia modus jual tiket konser abis tu pura2 ngehack akun aku pny whatsapp buat diperas gitu gaiss Btw ati-ati yaa ama ni akun calo calo tiket kek diatas https://t.co/LtJVoPrQAV;1,84718E+18;https://pbs.twimg.com/media/GaJ9yYSW0AAEoda.jpg;;in;Indonesia;0;3;0;https://x.com/tanyarlfes/status/1847177105362031075;1371650588;tanyarlfes
1,84709E+18;Fri Oct 18 01:51:33 +0000 2024;0;tbtb bapake nanya beli tiket konser sendiri apa dari calo;1,84709E+18;;;in;;0;0;0;https://x.com/kangyounkyu/status/1847093128060457019;1,35971E+18;kangyounkyu
